room_id,price_info_str,room_size,maintenance_cost_str,room_floor_str,room_options,direction_str,building_approval_date_str,safeties
6130af637800d226d51c98f2,"[['2000', '38']]",23.14,5.2만 원,3층,"['옷장', '신발장', '가스레인지', '전자도어락']",남,2003.12.05,"[{'seq': 3, 'name': 'CCTV'}]"
614152d343f12c06ec5f53a0,"[['1000', '40']]",19.8,4만 원,4층,"['옷장', '신발장', '인덕션', '전자도어락']",북,2011.10.27,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}]"
602335f2e5620d3d90b86ee4,"[['500', '40']]",16.5,4만 원,3층,"['책상', '옷장', '신발장', '인덕션', '전자레인지']",서,2016.08.16,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
614bd81e91cb9d3600293ab5,"[['500', '32']]",16.52,4만 원,반지층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",북,2016.04.30,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
614bd9bc9c4b0b5a24d53793,"[['2000', '30']]",16.5,4만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",북,2016.04.15,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
609a3fe829c56d2ffe8a4875,"[['500', '30']]",19.82,5만 원,반지층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2017.01.24,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
614d91c3a9e4fe60b36e6442,"[['1000', '40']]",19.83,5만 원,1층,"['옷장', '신발장', '가스레인지', '전자도어락']",서,2010.06.24,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}]"
613044f183b03f7c9c5d81b0,"[['500', '27']]",16.5,3만 원,반지층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",북,2015.10.05,
61306746dd11be0cd2545654,"[['1000', '38']]",19.83,5만 원,중층,[],남,2013.08.30,
61304384dfe0723461fa71cb,"[['300', '33']]",16.5,4만 원,2층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",서,2016.04.30,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
6128905387dbab7183b4e4c6,"[['500', '35']]",16.52,없음,3층,"['책상', '옷장', '신발장', '인덕션']",남서,2012.04.17,"[{'seq': 1, 'name': '공동현관'}]"
613ac94bec4f060db07e733e,"[['500', '35']]",16.52,5만 원,2층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2016.08.30,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}, {'seq': 6, 'name': '카드키'}, {'seq': 7, 'name': '화재경보기'}]"
614bd407457ee873dd6fa171,"[['500', '37']]",16.5,3만 원,2층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2015.10.04,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
614bd5923b9c8e73d785f714,"[['500', '38']]",16.52,4만 원,1층,"['옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",북서,2015.04.30,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
610bb669c5d9fd03a9f45646,"[['2000', '30']]",16.52,4만 원,4층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2011.02.01,"[{'seq': 1, 'name': '공동현관'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
6132d835b970f05dd5e36e8b,"[['1000', '45']]",19.83,5만 원,3층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2017.06.08,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
614d91af41dc6f12d99fb034,"[['3000', '20']]",11.19,4만 원,옥탑,[],동,2012.05.15,
613060304e166c5b021bbcd0,"[['1000', '50']]",19.83,없음,4층,"['책상', '옷장', '신발장', '가스레인지', '전자레인지']",남,2012.07.31,
61396600561ebb206c0a6196,"[['1500', '30']]",16.52,5만 원,1층,"['신발장', '가스레인지']",남동,2012.04.10,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}]"
611b813d5806ed1215933667,"[['300', '26']]",14.0,4만 원,1층,"['신발장', '인덕션', '전자레인지', '전자도어락']",남동,2016.08.30,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}]"
61274c3bfe22fe3954030f2f,"[['1000', '60']]",17.5,5만 원,13층,"['옷장', '신발장', '인덕션', '전자도어락']",남,2016.02.05,
60cfd87f118cc421519a466f,"[['1000', '40']]",16.52,4만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2017.01.20,"[{'seq': 0, 'name': '비디오폰'}, {'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}]"
613044a2c1b1357ca4c69c9a,"[['300', '25']]",13.2,4만 원,3층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2017.05.31,
5f6804c61e57195d0e83651e,"[['500', '35']]",16.52,5만 원,2층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",서,2011.03.09,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
60f62e881d49823b0db48681,"[['1000', '40']]",26.4,5만 원,반지층,"['옷장', '신발장', '인덕션', '전자도어락']",서,2012.08.17,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
61306729f083b4233cdcb71f,"[['1000', '38']]",19.8,4만 원,중층,"['책상', '옷장', '신발장', '가스레인지', '인덕션', '전자도어락']",남,2013.08.23,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
60e9362309802763279131f2,"[['1000', '40']]",15.8,4만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",남,2016.07.13,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}, {'seq': 5, 'name': '인터폰'}]"
602dbc055cbc19700e03bb2c,"[['300', '25']]",16.5,4만 원,반지층,"['책상', '옷장', '신발장', '인덕션', '전자레인지']",북,2017.01.18,
5fe7edea557d8c6a60ffb62f,"[['100', '48']]",16.52,4만 원,중층,"['옷장', '신발장', '인덕션']",남,2012.10.24,
60d137fdbd521f7965f146f6,"[['800', '40']]",16.52,3만 원,2층,"['신발장', '가스레인지', '전자도어락']",북,2002.12.21,"[{'seq': 1, 'name': '공동현관'}]"
60e3c24bfe47c35b85a1b4b6,"[['1000', '35']]",16.52,5만 원,3층,[],남,2012.04.10,
60cfda45e83e7b40ecca02cc,"[['1000', '35']]",19.83,4만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2016.01.06,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}]"
611b82a8ab324d4f7c03e9d8,"[['50', '45']]",16.52,5만 원,중층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",북동,2010.08.23,"[{'seq': 1, 'name': '공동현관'}]"
614bf93c2f601b575140d5ad,"[['500', '40']]",23.14,5만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",동,2017.02.14,
614bd2f894ebe75c87a2397e,"[['500', '35']]",6.6,4만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2016.05.31,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
60d003b540366c583f8766c4,"[['500', '30']]",18.2,5만 원,반지층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",동,2015.09.11,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
60cfd906f1799f7a27015439,"[['500', '38']]",16.52,5만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지']",남,2011.01.14,"[{'seq': 1, 'name': '공동현관'}, {'seq': 4, 'name': '방범창'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
614bd694f5b0160412f5392e,"[['500', '28']]",14.8,3만 원,반지층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",북,2014.05.31,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
5f895cdfc6539348ddf69dde,"[['3000', '20']]",16.5,5만 원,2층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",동,2016.02.26,"[{'seq': 5, 'name': '인터폰'}]"
613982881334fd6ee3eecfea,"[['2000', '28']]",16.5,4만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2016.04.20,
61397d7618b9f46aebc760da,"[['500', '30']]",16.52,5만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지']",서,2008.08.19,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 7, 'name': '화재경보기'}]"
603f3dff781aee0587a8f4c8,"[['500', '36']]",19.83,4만 원,3층,"['책상', '옷장', '인덕션', '전자도어락']",동,2008.08.12,
6142a5567bf484207780d1dc,"[['500', '30']]",15.45,5만 원,3층,"['책상', '옷장', '신발장', '인덕션', '전자도어락']",동,2007.09.14,"[{'seq': 3, 'name': 'CCTV'}, {'seq': 7, 'name': '화재경보기'}]"
61308ed39e2af53516206157,"[['2000', '30']]",16.52,4만 원,3층,"['옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2011.02.01,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}, {'seq': 5, 'name': '인터폰'}, {'seq': 6, 'name': '카드키'}, {'seq': 7, 'name': '화재경보기'}]"
610b9e575f0a436af6a2020b,"[['300', '35']]",33.04,없음,1층,['가스레인지'],남,2003.10.02,
6129bfbcbbb43f4e390d2908,"[['300', '36']]",16.5,4만 원,1층,"['책상', '옷장', '신발장', '인덕션']",북,2012.12.07,
6111e5560b3f772a5bdbe3be,"[['500', '40']]",16.5,5만 원,3층,"['책상', '옷장', '신발장', '인덕션', '전자레인지']",서,2016.08.24,
61173ca999f74074d3e77c78,"[['500', '36']]",19.83,5만 원,1층,"['옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",서,2011.01.26,
6107a293b9e6b20b2d476edb,"[['500', '40']]",16.52,4만 원,2층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2016.02.26,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}]"
602330d300b5f92f568ff93f,"[['1000', '45']]",19.83,4만 원,3층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2016.08.16,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
613872b4e5beab1eee32b48c,"[['500', '40']]",16.52,5만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2016.10.27,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}]"
60e65ecfbf972d0878753fee,"[['1000', '35']]",13.2,5만 원,2층,"['책상', '옷장', '신발장', '인덕션']",서,2013.12.02,
60cfd865ed03d140ecc8ca6b,"[['500', '40']]",16.52,없음,3층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",남,2015.02.12,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 5, 'name': '인터폰'}, {'seq': 7, 'name': '화재경보기'}]"
610b53c91d680d45cf61bb8b,"[['500', '40']]",16.52,4만 원,1층,"['책상', '옷장', '신발장', '인덕션', '전자레인지', '전자도어락']",동,2017.09.12,"[{'seq': 1, 'name': '공동현관'}, {'seq': 3, 'name': 'CCTV'}, {'seq': 4, 'name': '방범창'}]"
